Job position,Company name,Job location
Junior Data Analyst,Lovehoney,Berlin
"Data Analyst / Decision Scientist, Policy",Vinted,Berlin
Bi data analyst (m/w/d) - headquarter,a&o Hostels Holding GmbH & Co. KG,Berlin
BI Data Analyst (m/w/d) - Headquarter,a&o Hostels Holding GmbH & Co. KG,Berlin
Fraud Analyst,PAYLA,Berlin
(Junior) Data Analyst mit Schwerpunkt Marketing (m/w/d),DR. KADE Pharmazeutische Fabrik GmbH,Berlin
BI Data Analyst (m/f/x) - Headquarter in Berlin,a&o Hostels Holding GmbH & Co. KG,Berlin
(Senior) Data Engineer,PAYLA,Berlin
Praktikant/ Werkstudent (m/w/d) Technical Data Analyst Produktion E-Motor,Vaionic Technologies GmbH,Berlin
"FinOps-Data Analyst (m/w/d) - Business Analysis, Datenbankentwicklung/BI, Ingenieur",Reply Deutschland SE,Berlin
Country Research Analyst – Germany (Contractor),bet365,Berlin
Junior Techno-Economic & Sustainability Analyst,Ucaneo,Berlin
Energy System Analyst (Internship or Working student contract),Elia Grid International,Berlin
"Compliance Risk Assessment and Internal Testing Analyst (Fully Remote, Worldwide)",Tether Operations Limited,Berlin
Internship - Technology M&A Analyst - Berlin - Q1 2025,Clipperton,Berlin
Internship - Technology M&A Analyst - Berlin - Q2 2025,Clipperton,Berlin
Online Marketing Manager / Web Analyst (m/w/d),C21 Group,Berlin
"Trainee - Digitalisierung, Daten- & Projektmanagement",IHK Berlin,Berlin
Amazon PPC Strategist & Account Manager,Sophie Society Co.,Berlin
Policy analyst (m/f/d),Potsdam-Institut für Klimafolgenforschung e.V. (PIK),Potsdam
